random_seed,phase_error_sd_radians,trial,minimum_gap_over_candidates,all_nine_positive
20260907,0.05,95,0.1076590263309552,1
20260907,0.05,96,0.10767578052800483,1
20260907,0.05,97,0.1078243998736099,1
20260907,0.05,98,0.1077658360202107,1
20260907,0.05,99,0.10778129846771506,1
20260907,0.05,100,0.10769057164191019,1
20260907,0.1,1,0.10754991337159445,1
20260907,0.1,2,0.10747027808679278,1
20260907,0.1,3,0.1075437196951611,1
20260907,0.1,4,0.10762732872369948,1
20260907,0.1,5,0.10704687445116215,1
20260907,0.1,6,0.1067764055880556,1
20260907,0.1,7,0.10704197611399097,1
20260907,0.1,8,0.10764169725320817,1
20260907,0.1,9,0.10743085337743588,1
20260907,0.1,10,0.1073950075179258,1
20260907,0.1,11,0.10695295710888485,1
20260907,0.1,12,0.10717254385067836,1
20260907,0.1,13,0.10723246252668803,1
20260907,0.1,14,0.10753295115685851,1
20260907,0.1,15,0.1074228394937412,1
20260907,0.1,16,0.10737330548431362,1
20260907,0.1,17,0.1068521949001223,1
20260907,0.1,18,0.10743191524022577,1
20260907,0.1,19,0.10764791710688369,1
20260907,0.1,20,0.10751802792853626,1
20260907,0.1,21,0.10759050260962462,1
20260907,0.1,22,0.10756755858703307,1
20260907,0.1,23,0.10775213342332504,1
20260907,0.1,24,0.10769250978736097,1
20260907,0.1,25,0.10678128341177773,1
20260907,0.1,26,0.10722120714021441,1
20260907,0.1,27,0.10745780727959572,1
20260907,0.1,28,0.10747155012470538,1
20260907,0.1,29,0.1070320866474313,1
20260907,0.1,30,0.10734171589102065,1
20260907,0.1,31,0.10765042659725042,1
20260907,0.1,32,0.10775780562195775,1
20260907,0.1,33,0.10644122104014161,1
20260907,0.1,34,0.106830222381601,1
20260907,0.1,35,0.10669910656181232,1
20260907,0.1,36,0.10761081640778646,1
20260907,0.1,37,0.10767009735601349,1
20260907,0.1,38,0.10720436540784586,1
20260907,0.1,39,0.10776823040867406,1
20260907,0.1,40,0.10773142436933292,1
20260907,0.1,41,0.10738894929652273,1
20260907,0.1,42,0.10742315428959137,1
20260907,0.1,43,0.10737398787827249,1
20260907,0.1,44,0.10744387722074583,1
20260907,0.1,45,0.10771730794056687,1
