hidden_ring_states,cycle_affinity,coherence_bound,minimum_extra_decay_at_omega_4
30,8.0,1.2611174807164447,3.171790147360092
31,8.0,1.261882372951248,3.169867561145921
32,8.0,1.2625772151976429,3.1681230675256904
33,8.0,1.2632102930502636,3.1665353124547715
34,8.0,1.2637887042517415,3.1650860516025126
35,8.0,1.264318557032681,3.163759621932533
36,8.0,1.2648051309178951,3.1625425152229716
37,8.0,1.2652530078912716,3.1614230316405907
38,8.0,1.2656661799949853,3.1603909966337635
39,8.0,1.2660481380745552,3.1594375282470084
40,8.0,1.2664019453486488,3.158554844843336
41,8.0,1.266730298695142,3.157736105404913
42,8.0,1.2670355799402302,3.1569752762496943
43,8.0,1.267319898969843,3.156267019283332
44,8.0,1.2675851301188308,3.1556065978977026
45,8.0,1.2678329430085882,3.1549897974002277
46,8.0,1.2680648287795204,3.154412857463996
47,8.0,1.268282122487208,3.153872414566298
48,8.0,1.2684860222897818,3.153365452761932
49,8.0,1.2686776059409575,3.1528892614394857
50,8.0,1.2688578450122907,3.1524413989506086
51,8.0,1.2690276171947923,3.1520196611970275
52,8.0,1.2691877169705137,3.151622054417447
53,8.0,1.2693388648961816,3.1512467715444585
54,8.0,1.2694817157012936,3.150892171605874
55,8.0,1.2696168653704798,3.150556761730463
56,8.0,1.2697448573530845,3.150239181388312
57,8.0,1.26986618802069,3.149938188554106
58,8.0,1.2699813114748395,3.1496526475297246
59,8.0,1.2700906437918598,3.149381518202502
60,8.0,1.2701945667788208,3.1491238465488736
4,9.0,0.8093010702017812,4.942536402432643
5,9.0,0.9858994382139449,4.057208925127697
6,9.0,1.1001102559089275,3.635999190549442
7,9.0,1.1770591437465234,3.3982999250727453
8,9.0,1.230838437095975,3.2498172623188064
9,9.0,1.2696564547144376,3.150458523758423
10,9.0,1.2984716228085653,3.0805447956945633
11,9.0,1.3203866748585034,3.029415606930941
12,9.0,1.3374080179133327,2.9908598919878835
13,9.0,1.350872533375773,2.961049174642829
14,9.0,1.3616953228255957,2.937514679641971
15,9.0,1.3705180878105827,2.918604311446953
16,9.0,1.3778006494572221,2.9031776125056847
17,9.0,1.3838789528033975,2.8904262124205204
18,9.0,1.389002757375243,2.879763901663291
19,9.0,1.393360692309838,2.8707570280090335
20,9.0,1.3970972618587736,2.863079120689267
21,9.0,1.4003246087062826,2.8564805439615024
22,9.0,1.4031307936749045,2.850767738853269
23,9.0,1.4055857170086923,2.845788735327099
24,9.0,1.4077454154267632,2.8414228568362163
25,9.0,1.4096552227817623,2.837573284130105
26,9.0,1.4113521239544227,2.83416160439999
27,9.0,1.412866528211632,2.83112376160761
28,9.0,1.4142236195497746,2.828407010535873
29,9.0,1.415444395190446,2.825967599710482
30,9.0,1.4165464716714309,2.8237689902825887
31,9.0,1.417544715973062,2.821780473608716
32,9.0,1.4184517436683686,2.8199760886156677
33,9.0,1.4192783151066846,2.8183337668336934
34,9.0,1.4200336527538222,2.816834651941479
35,9.0,1.420725697087871,2.815462554241815
36,9.0,1.4213613142547186,2.8142035103138947
37,9.0,1.4219464655846936,2.813045425275719
38,9.0,1.422486346757077,2.8119777803977013
39,9.0,1.4229855026582066,2.8109913927638788
40,9.0,1.4234479226592431,2.810078216649696
41,9.0,1.4238771200319598,2.8092311785375257
42,9.0,1.4242761984461172,2.8084440394103285
43,9.0,1.4246479078922147,2.8077112792858783
44,9.0,1.4249946919062775,2.807027999977337
45,9.0,1.4253187276072514,2.806389842863417
46,9.0,1.4256219597690745,2.8057929190764774
47,9.0,1.425906129920861,2.8052337500098994
48,9.0,1.426172801286529,2.8047092164369287
49,9.0,1.4264233802293615,2.804216514844857
50,9.0,1.4266591347497453,2.803753119838014
51,9.0,1.4268812104895046,2.8033167516641164
52,9.0,1.4270906446193317,2.8029053480810795
53,9.0,1.427288377923107,2.8025170399134955
54,9.0,1.4274752653415463,2.802150129755794
55,9.0,1.4276520851954742,2.8018030733673602
56,9.0,1.4278195472742117,2.8014744633775512
